Restaurant Name,Locality,City,Cuisines,Highlights
Attica,Ripponlea,Melbourne,"Australian, Contemporary","['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Wine', ""Seasonal Chef's Menu"", 'Gluten Free Options', 'Degustation', 'Wine Cellar', 'Table reservation required', 'Dairy Free', 'Date Night', 'Fullbar', 'Available for Functions', 'Vegetarian Friendly', 'Locally Sourced', 'Indoor Seating', 'Set Menu', 'Vegan Options']"
Punch Lane,CBD,Melbourne,"Mediterranean, Modern Australian","['Debit Card', 'Cash', 'Dinner', 'Lunch', 'Credit Card', 'Serves Cocktails', 'Smoking Area', 'Lunch Menu', 'Indoor Seating', 'Pre-Theatre Menu', 'Nightlife', 'Outdoor Seating', 'Date Night', 'Laneway', 'Vegetarian Friendly', 'Fullbar', 'Table booking recommended', 'Gluten Free Options']"
Bahari The Hellenic Palate,Richmond,Melbourne,Greek,"['Lunch', 'Credit Card', 'Debit Card', 'Cash', 'Dinner', 'Outdoor Seating', 'Available for Functions', 'Fullbar', 'Table booking recommended', 'Gluten Free Options', 'Date Night', 'Shared Plates', 'Street Parking', 'Vegan Options', 'Indoor Seating', 'Catering Available', 'Vegetarian Friendly']"
The Proud Peacock,Mount Waverley,Melbourne,"Chinese, Thai, Vietnamese","['Lunch', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Table Reservation Not Required', 'Smoking Area', 'Gluten Free Options', 'Board Games', 'Indoor Seating', 'Vegetarian Friendly', 'Brunch']"
Railway Club Hotel Port Melbourne,Port Melbourne,Melbourne,"Steak, Pub Food","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Available for Functions', 'Gluten Free Options', 'Vegetarian Friendly', 'Live Sports Screening', 'Fullbar', 'Fireplace', 'Table booking recommended', 'Happy Hours', 'Smoking Area', 'Vegan Options']"
Lentil As Anything,Abbotsford,Melbourne,"Vegetarian, Vegan","['No Alcohol Available', 'Breakfast', 'Lunch', 'Takeaway Available', 'Dinner', 'Debit Card', 'Cash', 'Credit Card', 'Outdoor Seating', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Table Reservation Not Required', 'Buffet', 'Covered Courtyard', 'Gluten Free Options', 'Indoor Seating', 'Vegan Options', 'Cheap Eats']"
Jinda Thai Restaurant,Abbotsford,Melbourne,Thai,"['Dinner', 'Credit Card', 'Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Corkage Fee Charged', 'Street Parking', 'Dairy Free', 'Indoor Seating', 'Kid Friendly', 'Date Night', 'Shared Plates', 'BYO', 'Available for Functions', 'Vegetarian Friendly', 'Fullbar', 'Table booking recommended', 'Gluten Free Options']"
Mr. Miyagi,Windsor,Melbourne,"Asian, Japanese","['Lunch', 'Dinner', 'Debit Card', 'Credit Card', 'Cash', 'Wine', 'Street Parking', 'Wheelchair Accessible', 'Outdoor Seating', 'Serves Cocktails', 'Gluten Free Options', 'Date Night', 'Fullbar', 'Indoor Seating', 'Feed Me Menu', 'Vegan Options', 'Beer', 'Table booking recommended', 'Vegetarian Friendly']"
Hakata Gensuke Ramen Professionals,CBD,Melbourne,"Ramen, Japanese","['Lunch', 'Cash', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Debit Card', 'Indoor Seating', 'Table booking not available', 'Kid Friendly', 'Wheelchair Accessible']"
Cumulus Inc.,CBD,Melbourne,"Modern European, Contemporary","['Cash', 'Lunch', 'Credit Card', 'Dinner', 'Breakfast', 'Takeaway Available', 'Debit Card', 'Available for Functions', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Outdoor Seating', 'Serves Cocktails', 'Feed Me Menu', 'Smoking Area', 'Locally Sourced', 'Wine', 'Date Night', 'Open Kitchen', 'Gluten Free Options', 'Craft Beer', 'Beer', 'Table booking recommended', ""Seasonal Chef's Menu"", 'Vegan Options', 'Fullbar', 'Indoor Seating']"
MoVida Bar De Tapas,CBD,Melbourne,"Spanish, Tapas","['Lunch', 'Dinner', 'Credit Card', 'Debit Card', 'Cash', 'Table booking recommended', 'Gluten Free Options', 'Indoor Seating', 'Vegan Options', 'Fullbar', ""Seasonal Chef's Menu"", 'Vegetarian Friendly', 'Laneway', 'Date Night']"
Maha Restaurant,CBD,Melbourne,Middle Eastern,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Indoor Seating', 'Set Menu', 'Fullbar', 'Available for Functions', 'Gluten Free Options', 'Degustation', 'Lunch Menu', 'Table booking recommended', 'Vegan Options', 'Serves Cocktails', 'Underground', 'Vegetarian Friendly', 'Date Night']"
Hell of the North,Fitzroy,Melbourne,"French, European","['Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Shared Plates', 'Beer', 'Available for Functions', 'Locally Sourced', 'Wine', 'Table booking recommended', 'Bar Seating', 'Gluten Free Options', 'Fullbar', 'Street Parking', 'Date Night', 'Vegetarian Friendly', 'Craft Beer', 'Indoor Seating', 'Feed Me Menu']"
Shoya Nouvelle Wafu Cuisine,CBD,Melbourne,"Japanese, Sushi, Japanese BBQ","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'No Seating Available', 'Debit Card', 'Karaoke', 'Fullbar', 'Vegetarian Friendly', 'Indoor Seating', 'Date Night', 'Gluten Free Options', 'Table booking recommended']"
Wagyu Ya,South Yarra,Melbourne,"Japanese, Steak, Japanese BBQ","['Cash', 'Lunch', 'Credit Card', 'Dinner', 'Debit Card', 'Takeaway Available', 'Vegetarian Friendly', 'Outdoor Seating', 'Gluten Free Options', 'Indoor Seating', 'Table booking recommended', 'Fullbar', 'Date Night']"
Komeyui,South Melbourne,Melbourne,"Japanese, Japanese BBQ","['Cash', 'Debit Card', 'Credit Card', 'Lunch', 'Takeaway Available', 'Dinner', 'Table booking recommended', 'Fullbar', 'Private Dining', 'Gluten Free Options', 'Indoor Seating', 'Vegetarian Friendly', 'Omakase Available', 'Wheelchair Accessible', 'Date Night']"
Cutler & Co,Fitzroy,Melbourne,Modern Australian,"['Debit Card', 'Cash', 'Credit Card', 'Lunch', 'Dinner', 'Dairy Free', 'Shared Plates', 'Beer', 'Street Parking', 'Set Menu', 'Gluten Free Options', 'Degustation', 'Craft Beer', 'Fireplace', 'Table booking recommended', 'Private Dining', 'Vegan Options', 'Fullbar', 'Indoor Seating', 'Available for Functions', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Locally Sourced', 'Wine', 'Serves Cocktails', 'Kid Friendly', 'Date Night']"
Sezar,CBD,Melbourne,Middle Eastern,"['Debit Card', 'Cash', 'Dinner', 'Lunch', 'Credit Card', 'Gift Cards Available', 'Fullbar', 'Laneway', 'Available for Functions', 'Feed Me Menu', 'Vegan Options', 'Table booking recommended', 'Indoor Seating', 'Date Night']"
Claypots Seafood Bar,St Kilda,Melbourne,Seafood,"['Dinner', 'Cash', 'Lunch', 'Credit Card', 'Debit Card', 'Wheelchair Accessible', 'Live Entertainment', 'Indoor Seating', 'Gluten Free Options', 'Fullbar', 'Date Night', 'Covered Courtyard', 'Vegan Options', 'Outdoor Seating', 'Table Reservation Not Required', 'Vegetarian Friendly', 'Live Music']"
Rumi Brunswick,Brunswick,Melbourne,Middle Eastern,"['Cash', 'Dinner', 'Credit Card', 'Debit Card', 'Takeaway Available', 'Indoor Seating', 'Vegetarian Friendly', 'Feed Me Menu', 'Shared Plates', 'Table booking recommended', 'Fullbar', 'Date Night']"
La Luna Bistro,Carlton North,Melbourne,"Modern European, Steak, Mediterranean","['Lunch', 'Dinner', 'Credit Card', 'Debit Card', 'Cash', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Gluten Free Options', 'Outdoor Seating', 'Street Parking', 'Vegetarian Friendly', 'Wine', 'Table booking recommended', 'Date Night', 'Locally Sourced', 'Beer', 'Available for Functions']"
Milk the Cow,St Kilda,Melbourne,Bar Food,"['Lunch', 'Debit Card', 'Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Shared Plates', 'Indoor Seating', 'Available for Functions', 'Vegetarian Friendly', 'Outdoor Seating', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', 'Onsite Retail', 'Nightlife', 'Serves Cocktails', 'Wifi', 'Date Night']"
Bistro Thierry,Toorak,Melbourne,French,"['Debit Card', 'Lunch', 'Cash', 'Dinner', 'Credit Card', 'Lunch Menu', 'Outdoor Seating', 'Table booking recommended', 'Vegetarian Friendly', 'Fullbar', 'Indoor Seating', 'Set Menu', 'Gluten Free Options']"
Matteo's Restaurant,Fitzroy North,Melbourne,"Asian, Fusion","['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Wine', ""Seasonal Chef's Menu"", 'Vegetarian Friendly', 'Fullbar', 'Table booking recommended', 'Date Night', 'Indoor Seating', 'Gluten Free Options', 'Degustation', 'Beer', 'Vegan Options']"
Il Bacaro Cucina e Bar,CBD,Melbourne,Italian,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Shared Plates', 'Table booking recommended', 'Vegetarian Friendly', 'Date Night']"
Pho Hung Vuong Saigon,Footscray,Melbourne,"Vietnamese, Pho","['Lunch', 'Takeaway Available', 'Cash', 'Dinner', 'BYO', 'Indoor Seating', 'Wheelchair Accessible', 'Cheap Eats', 'Table Reservation Not Required', 'Kid Friendly', 'Vegetarian Friendly']"
Aoba,Malvern,Melbourne,Japanese,"['No Alcohol Available', 'Dinner', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Indoor Seating', 'Table booking recommended']"
Myong Tofu,Flemington,Melbourne,"Malaysian, Chinese","['Takeaway Available', 'Dinner', 'Cash', 'Lunch', 'Kid Friendly', 'Smoking Area', 'Outdoor Seating', 'Vegetarian Friendly', 'BYO', 'Table booking recommended', 'Beer', 'Indoor Seating', 'Street Parking']"
A1 Bakery,Brunswick,Melbourne,"Bakery, Middle Eastern","['Breakfast', 'Cash', 'Debit Card', 'Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'No Alcohol Available', 'Vegetarian Friendly', 'Indoor Seating', 'Onsite Retail', 'Halal', 'Kid Friendly', 'Smoking Area', 'Desserts and Bakes', 'Halal Certified', 'Wheelchair Accessible', 'Outdoor Seating', 'Cheap Eats']"
O.MY,Beaconsfield,Melbourne,Australian,"['Lunch', 'Dinner', 'Debit Card', 'Credit Card', 'Cash', 'Covered Courtyard', 'Vegetarian Friendly', 'Garden', 'Table reservation required', 'Wheelchair Accessible', 'Fullbar', 'Indoor Seating', 'Gluten Free Options', 'Date Night', 'Farm-to-Table', 'Outdoor Seating', ""Seasonal Chef's Menu"", 'Vegan Options']"
The Abyssinian,Flemington,Melbourne,"African, Ethiopian","['Dinner', 'Cash', 'Debit Card', 'Credit Card', 'Takeaway Available', 'Table booking recommended', 'Vegan Options', 'Wheelchair Accessible', 'Beer', 'Outdoor Seating', 'Fullbar', 'Street Parking', 'Indoor Seating', 'Vegetarian Friendly', 'Wine']"
Fresh Chilli Thai Restaurant,Laverton,Melbourne,"Asian, Thai","['Debit Card', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Fullbar', 'BYO', 'Vegetarian Friendly', 'Street Parking', 'Kid Friendly', 'Wheelchair Accessible', 'Table reservation required', 'Indoor Seating']"
Katik Take Away Food,Campbellfield,Melbourne,"Middle Eastern, Turkish","['No Alcohol Available', 'Cash', 'Debit Card', 'Delivery', 'Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Outdoor Seating', 'Vegetarian Friendly', 'Halal Certified', 'Halal', 'Wheelchair Accessible', 'Indoor Seating', 'Smoking Area', 'Cheap Eats']"
Chin Chin,CBD,Melbourne,"Thai, Asian Fusion","['Dinner', 'Credit Card', 'Debit Card', 'Cash', 'Lunch', 'Table booking recommended', 'Gluten Free Options', 'Date Night', 'Beer', 'Feed Me Menu', 'Wine', 'Group Bookings Available', 'Vegetarian Friendly', 'Fullbar', 'Serves Cocktails', 'Vegan Options', 'Indoor Seating']"
San Telmo,CBD,Melbourne,Steak,"['Dinner', 'Lunch', 'Credit Card', 'Debit Card', 'Cash', 'Outdoor Seating', 'Available for Functions', 'Wifi', 'Vegetarian Friendly', 'Indoor Seating', 'Group Bookings Available', 'Vegan Options', 'Craft Beer', 'Serves Cocktails', 'Bar Seating', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', 'Dairy Free', 'Date Night']"
+39 Pizzeria,CBD,Melbourne,"Pizza, Italian","['Lunch', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Cash', 'Dinner', 'Gluten Free Options', 'Wine', 'Vegetarian Friendly', 'Indoor Seating', 'Table booking recommended', 'Dairy Free', 'Feed Me Menu', 'Vegan Options', 'Fullbar', 'Date Night']"
Dodee Paidang,CBD,Melbourne,Thai,"['Lunch', 'Takeaway Available', 'Dinner', 'Breakfast', 'Debit Card', 'Cash', 'Credit Card', 'Delivery', 'Laneway', 'Vegetarian Friendly', 'Happy Hours', 'Vegan Options', 'Indoor Seating', 'Pram Friendly', 'Gluten Free Options', 'Date Night', 'Outdoor Seating', 'Underground', 'Fullbar']"
DOC Pizza & Mozzarella Bar - Carlton,Carlton,Melbourne,"Italian, Pizza","['Dinner', 'Lunch', 'Takeaway Available', 'Credit Card', 'Cash', 'Debit Card', 'Fullbar', 'Serves Cocktails', 'EFTPos', 'Outdoor Seating', 'Table booking recommended', 'Date Night', 'BYO', 'Feed Me Menu', 'Gluten Free Options', 'Indoor Seating', 'Vegetarian Friendly']"
Sakura Kaiten Sushi,CBD,Melbourne,"Sushi, Japanese","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Debit Card', 'Fullbar', 'Sake', 'Indoor Seating', 'Table Reservation Not Required', 'Wheelchair Accessible', 'Sushi Train']"
Naked For Satan,Fitzroy,Melbourne,Bar Food,"['Dinner', 'Debit Card', 'Credit Card', 'Cash', 'Lunch', 'Rooftop', 'Table Reservation Not Required', 'Vegan Options', 'Fullbar', 'Indoor Seating', 'Vegetarian Friendly', 'Outdoor Seating', 'Street Parking', 'Smoking Area', 'Date Night', 'Shared Plates', 'Wine', 'Serves Cocktails', 'Gluten Free Options', 'Nightlife', 'Beer']"
Shimbashi Soba & Sake Bar,CBD,Melbourne,"Japanese, Tapas","['Credit Card', 'Debit Card', 'Takeaway Available', 'Lunch', 'Cash', 'Dinner', 'Fullbar', 'Vegan Options', 'Happy Hours', 'Vegetarian Friendly', 'Table booking recommended', 'Outdoor Seating', 'Gluten Free Options', 'Indoor Seating']"
Purple Peanuts Japanese Cafe,CBD,Melbourne,"Japanese, Sushi","['Delivery', 'Debit Card', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Dinner', 'Beer', 'Wheelchair Accessible', 'Table Reservation Not Required', 'Outdoor Seating', 'Vegetarian Friendly', 'Wine', 'Indoor Seating', 'Cheap Eats']"
Peko Peko,South Melbourne,Melbourne,"Taiwanese, Japanese, Asian","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Shared Plates', 'Craft Beer', 'BYO', 'Beer', 'Street Parking', 'Available for Functions', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly', 'Desserts and Bakes', 'Locally Sourced', 'Corkage Fee Charged', 'Outdoor Seating', 'Wine', 'Indoor Seating', 'Table booking recommended', 'Kid Friendly', 'Pet Friendly', 'Dairy Free', 'Vegan Options']"
Coda,CBD,Melbourne,"Asian, Fusion","['Cash', 'Lunch', 'Dinner', 'Credit Card', 'Debit Card', 'Fullbar', 'Table booking recommended', 'Vegan Options', 'Street Parking', 'Laneway', 'Vegetarian Friendly', 'Serves Cocktails', 'Group Bookings Available', 'Indoor Seating', 'Gluten Free Options', 'Date Night']"
Kenzan Japanese,Collins Place,Melbourne,"Japanese, Sushi","['Takeaway Available', 'Dinner', 'Lunch', 'Cash', 'Debit Card', 'Credit Card', 'Vegetarian Friendly', 'Wine', 'Kid Friendly', 'Open Kitchen', 'Wifi', 'Lunch Menu', 'Beer', 'Group Bookings Available', 'Wheelchair Accessible', 'Shared Plates', 'Indoor Seating', 'Bar Seating', 'EFTPos', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', 'Date Night']"
Don Don,CBD,Melbourne,"Japanese, Asian","['Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Vegetarian Friendly', 'Cheap Eats']"
Laksa King,Flemington,Melbourne,"Malaysian, Chinese","['Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Fullbar', 'Table booking recommended', 'Vegetarian Friendly', 'Indoor Seating', 'Kid Friendly']"
Yong Green Food,Fitzroy,Melbourne,"Asian, Vegan, Vegetarian","['Takeaway Available', 'Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Beer', 'Date Night', 'Indoor Seating', 'Table booking recommended', 'Wine', 'Vegan Options', 'Street Parking', 'Vegetarian Friendly', 'Outdoor Seating', 'Gluten Free Options']"
Tonka,CBD,Melbourne,"Indian, Contemporary","['Debit Card', 'Credit Card', 'Cash', 'Lunch', 'Dinner', 'Group Bookings Available', 'Vegetarian Friendly', 'Table booking recommended', 'Laneway', 'Vegan Options', 'Serves Cocktails', 'Gluten Free Options', 'Indoor Seating', 'Feed Me Menu', 'Wheelchair Accessible', 'Fullbar', 'Date Night']"
Pastuso,CBD,Melbourne,"Latin American, Peruvian","['Dinner', 'Debit Card', 'Cash', 'Credit Card', 'Lunch', 'Vegetarian Friendly', 'Serves Cocktails', 'Gluten Free Options', 'Date Night', 'Feed Me Menu', 'Wifi', 'Fullbar', 'Indoor Seating', 'Table booking recommended']"
BrimCC,CBD,Melbourne,Japanese,"['Cash', 'Dinner', 'Credit Card', 'Lunch', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Outdoor Seating', 'Vegan Options', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Cheap Eats', 'Gluten Free Options', 'Indoor Seating', 'Serves Organic Food', 'Table Reservation Not Required']"
Breizoz French Creperie,Fitzroy,Melbourne,"Crepes, Desserts, Cafe Food","['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Wine', 'Indoor Seating', 'Outdoor Seating', 'Beer', 'Table booking recommended', 'Pet Friendly', 'Vegetarian Friendly', 'Brunch', 'Desserts and Bakes']"
Richmond Oysters,Richmond,Melbourne,Seafood,"['Debit Card', 'Delivery', 'Credit Card', 'Takeaway Available', 'Cash', 'Dinner', 'Lunch', 'Outdoor Seating', 'Gluten Free Options', 'Fullbar', 'Date Night', 'Table booking recommended', 'Wheelchair Accessible', 'Indoor Seating', 'Group Bookings Available']"
Bar Lourinhã,CBD,Melbourne,"Spanish, Tapas","['Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Gluten Free Options', 'Available for Functions', 'Indoor Seating', 'Fullbar', 'Table booking recommended', 'Vegan Options', 'Date Night']"
Añada,Fitzroy,Melbourne,"Spanish, Tapas","['Debit Card', 'Cash', 'Dinner', 'Lunch', 'Credit Card', 'Craft Beer', 'Beer', 'Available for Functions', 'Fullbar', 'Indoor Seating', 'Bar Seating', 'Vegetarian Friendly', 'Outdoor Seating', 'Street Parking', 'Wifi', 'Wine', 'Table booking recommended', 'Date Night']"
Oasis,Hughesdale & Murrumbeena,Melbourne,"Bakery, Middle Eastern, Cafe Food, Coffee and Tea","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Desserts and Bakes', 'Locally Sourced', 'Outdoor Seating', 'Beer', 'Catering Available', 'Pet Friendly', 'Smoking Area', 'Dairy Free', 'Vegan Options', 'Brunch', 'Craft Beer', 'Wine', 'Indoor Seating', 'Available for Functions', 'Kid Friendly', 'Onsite Retail', 'Shisha', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly']"
Tsukiji,Prahran,Melbourne,"Japanese, Sushi","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Fullbar', 'Indoor Seating', 'Kid Friendly', 'Onsite Retail', 'BYO', 'Table Reservation Not Required', 'Bar Seating']"
Il Solito Posto,CBD,Melbourne,Italian,"['Cash', 'Breakfast', 'Credit Card', 'Dinner', 'Takeaway Available', 'Lunch', 'Debit Card', 'Wine', 'Kid Friendly', 'Fullbar', 'Table booking recommended', 'Wheelchair Accessible', 'Date Night', 'Indoor Seating', 'Vegetarian Friendly', 'Beer', 'Underground', 'Gluten Free Options']"
Steer Dining Room,South Yarra,Melbourne,"Modern Australian, Steak","['Lunch', 'Dinner', 'Debit Card', 'Cash', 'Credit Card', 'Indoor Seating', 'Dairy Free', 'Degustation', 'Serves Cocktails', 'Wheelchair Accessible', 'Date Night', 'Locally Sourced', 'Table reservation required', 'Vegetarian Friendly', 'Fullbar', 'Available for Functions', 'Gluten Free Options']"
Donovans,St Kilda,Melbourne,Modern Australian,"['Lunch', 'Debit Card', 'Cash', 'Credit Card', 'Dinner', 'Outdoor Seating', 'Indoor Seating', 'Private Dining', 'Wifi', 'Fullbar', 'Fireplace', 'Available for Functions', 'Gluten Free Options', 'Serves Two Boys Brew', 'Waterfront', 'Beer', 'Table booking recommended', 'Vegan Options', 'Wine', 'Serves Cocktails', 'Wheelchair Accessible', 'Vegetarian Friendly']"
Flower Drum,CBD,Melbourne,Chinese,"['Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Vegetarian Friendly', 'Fullbar', 'Street Parking', 'Available for Functions', 'Set Menu', 'Private Dining', 'Date Night', 'Indoor Seating', 'Table booking recommended', 'Kid Friendly', 'Laneway', 'Wheelchair Accessible', 'Gluten Free Options']"
Tuck Shop Take Away,Caulfield,Melbourne,Burger,"['No Alcohol Available', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Lunch', 'Credit Card', 'Kid Friendly', 'Indoor Seating', 'Bar Seating', 'Vegetarian Friendly', 'Table Reservation Not Required', 'Cheap Eats']"
Amaru,Armadale,Melbourne,Contemporary,"['Lunch', 'Dinner', 'Debit Card', 'Cash', 'Credit Card', 'Beer', 'Dairy Free', 'Degustation', 'Indoor Seating', 'Available for Functions', 'Wheelchair Accessible', 'Date Night', 'Fullbar', 'Street Parking', 'Feed Me Menu', 'Vegetarian Friendly', 'Wine', 'Table reservation required', ""Seasonal Chef's Menu"", 'Gluten Free Options']"
Ziggy's Eatery,Balaclava,Melbourne,"American, Burger","['Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Indoor Seating', 'Kid Friendly', 'Pet Friendly', 'Wifi', 'Vegan Options', 'Locally Sourced', 'Outdoor Seating', 'Table Reservation Not Required', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly', 'Craft Beer', 'Beer']"
The Melbourne Supper Club,CBD,Melbourne,Modern European,"['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Shared Plates', 'Nightlife', 'Table booking not available', 'Date Night', 'Fullbar', 'Gluten Free Options', 'Indoor Seating', 'Vegetarian Friendly']"
Spring Street Grocer,CBD,Melbourne,"Ice Cream, Cafe Food","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Onsite Retail', 'Vegan Options', 'Desserts and Bakes', 'Wine', 'Vegetarian Friendly']"
MoVida Next Door,CBD,Melbourne,"Spanish, Tapas","['Dinner', 'Lunch', 'Credit Card', 'Debit Card', 'Cash', 'Nightlife', 'Group Bookings Available', 'Vegetarian Friendly', 'Fullbar', 'Bar Seating', 'Shared Plates', 'Indoor Seating', 'Laneway', 'Live Sports Screening', 'Table booking recommended', 'Date Night']"
Lau's Family Kitchen,St Kilda,Melbourne,"Asian, Chinese","['Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Outdoor Seating', 'Indoor Seating', 'Gluten Free Options', 'Kid Friendly', 'Date Night', 'Vegetarian Friendly', 'Vegan Options', 'Wheelchair Accessible', 'Table booking recommended', 'Fullbar']"
