Restaurant Name,Locality,City,Cuisines,Highlights
The Baxter Inn,CBD,Sydney,Bar Food,"['Dinner', 'Credit Card', 'Fullbar', 'Nightlife', 'Indoor Seating', 'Table booking not available', 'Underground']"
Ester,Chippendale,Sydney,Modern Australian,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Fullbar', 'Beer', 'Street Parking', 'EFTPos', 'Vegan Options', 'Wine', 'Indoor Seating', 'Wheelchair Accessible', 'Vegetarian Friendly']"
Five Points Burgers,North Sydney,Sydney,"Burger, American","['No Alcohol Available', 'Credit Card', 'Dinner', 'Takeaway Available', 'Cash', 'Lunch', 'Debit Card', 'Indoor Seating', 'Street Parking', 'Vegetarian Friendly', 'Table booking not available']"
The Dolar Shop Hot Pot Restaurant 豆捞坊 - 1909 Dining Precinct,"Market City, Chinatown",Sydney,"Chinese, Hot Pot, Asian, Seafood","['Dinner', 'Lunch', 'Credit Card', 'Debit Card', 'Cash', 'Wheelchair Accessible', 'Indoor Seating', 'Accepts Cryptocurrency', 'Beer', 'Kid Friendly', 'Wine', 'Pram Friendly', 'Craft Beer', 'BYO Cake', 'Corkage Fee Charged', 'Available for Functions', 'Wifi', 'Vegetarian Friendly', 'Table booking recommended', 'EFTPos']"
Mappen Noodle Restaurant,"SkyView Shopping Plaza, CBD",Sydney,"Japanese, Asian","['Lunch', 'Credit Card', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Cash', 'Dinner', 'Wheelchair Accessible', 'Kid Friendly', 'Indoor Seating', 'Table Reservation Not Required', 'Vegetarian Friendly']"
KOI Dessert Bar,"Kensington Street, Chippendale",Sydney,"Desserts, Modern Australian","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Debit Card', 'Fullbar', 'Table booking recommended', 'Vegetarian Friendly', 'Desserts and Bakes', 'Street Parking', 'Indoor Seating', 'Kid Friendly', 'Wheelchair Accessible', 'Gluten Free Options', 'Outdoor Seating']"
Bar Luca,CBD,Sydney,"Burger, Modern Australian","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Fullbar', 'Indoor Seating', 'Gluten Free Options', 'Nightlife', 'Outdoor Seating', 'Table booking recommended', 'Vegetarian Friendly']"
Ryo's Noodles,Crows Nest,Sydney,"Japanese, Ramen","['Lunch', 'Cash', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Indoor Seating']"
Thai Pothong,Newtown,Sydney,Thai,"['Debit Card', 'Lunch', 'Dinner', 'Cash', 'Credit Card', 'Takeaway Available', 'Indoor Seating', 'Vegan Options', 'Halal', 'Fullbar', 'Lunch Menu', 'Gluten Free Options', 'Wine', 'Table booking recommended', 'Beer', 'Kid Friendly', 'Wifi', 'Wheelchair Accessible', 'Halal Certified', 'Set Menu', 'Vegetarian Friendly', 'Thai Select Premium', 'Serves Cocktails', 'Street Parking']"
Pasticceria Papa,Haberfield,Sydney,"Coffee and Tea, Italian, Cafe Food","['Credit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Desserts and Bakes', 'Outdoor Seating', 'Kid Friendly', 'Vegetarian Friendly', 'Indoor Seating', 'Street Parking']"
Malay Chinese Takeaway,CBD,Sydney,"Chinese, Malaysian","['Dinner', 'Lunch', 'Cash', 'Takeaway Available', 'Split Bills', 'Table Reservation Not Required', 'Indoor Seating', 'Wheelchair Accessible', 'BYO Cake', 'BYO', 'Pram Friendly', 'Lunch Menu']"
Claire's Kitchen at Le Salon,Surry Hills,Sydney,French,"['Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Dinner', 'Wifi', 'Gluten Free Options', 'Vegetarian Friendly', 'Desserts and Bakes', 'Shared Plates', 'Fullbar', 'Beer', 'Serves Cocktails', 'Street Parking', 'Indoor Seating', 'Wheelchair Accessible', 'Dairy Free', 'Vegan Options', 'Locally Sourced', 'Craft Beer', 'Wine', 'Available for Functions']"
BahBQ Brazilian Grill,Crows Nest,Sydney,"BBQ, Brazilian","['Credit Card', 'Dinner', 'Indoor Seating', 'Wheelchair Accessible', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', 'Outdoor Seating', 'Kid Friendly', 'Wifi', 'Vegetarian Friendly', 'Set Menu']"
Suzuya,Surry Hills,Sydney,Japanese,"['Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Set Menu', 'Fullbar', 'Wheelchair Accessible', 'Indoor Seating', 'Street Parking']"
Vina Vegan Restaurant,Newtown,Sydney,"Vietnamese, Vegetarian, Vegan","['Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Delivery', 'Cash', 'Vegan Options', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Indoor Seating', 'Kid Friendly', 'Gluten Free Options', 'Table booking recommended', 'Street Parking', 'EFTPos']"
Il Grappolo,Rozelle,Sydney,"Italian, Pizza","['Takeaway Available', 'Cash', 'Dinner', 'Debit Card', 'Delivery', 'Credit Card', 'Lunch', 'Wine', 'Street Parking', 'Beer', 'Indoor Seating', 'Table booking recommended']"
Jasmin1,Auburn,Sydney,"Middle Eastern, Seafood, Arabian, BBQ, Falafel, Lebanese, Sandwich, Salad","['Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Breakfast', 'Free Parking', 'Available for Functions', 'Wheelchair Accessible', 'Vegan Options', 'Indoor Seating', 'Street Parking', 'Kid Friendly', 'EFTPos', 'Gluten Free Options', 'Vegetarian Friendly']"
Rosso Pomodoro,Balmain,Sydney,"Italian, Pizza, Vegetarian","['Debit Card', 'Takeaway Available', 'Cash', 'Credit Card', 'Dinner', 'Table Reservation Not Required', 'Vegetarian Friendly', 'Gluten Free Options', 'Wheelchair Accessible', 'Outdoor Seating', 'Fullbar', 'Vegan Options']"
Home Thai,CBD,Sydney,"Thai, Salad","['Takeaway Available', 'Cash', 'Lunch', 'Dinner', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Vegetarian Friendly', 'Table booking recommended', 'BYO']"
Masuya Japanese Seafood Restaurant,CBD,Sydney,"Japanese, Hot Pot, Sushi","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Wine', 'Indoor Seating', 'Table booking recommended', 'Wheelchair Accessible', 'Gluten Free Options', 'Fullbar', 'Beer', 'Sake', 'Vegetarian Friendly']"
Chat Thai - Haymarket,Haymarket,Sydney,"Thai, Salad","['Takeaway Available', 'Dinner', 'Lunch', 'Credit Card', 'Breakfast', 'Indoor Seating', 'Gluten Free Options', 'Thai Select', 'Beer', 'Vegan Options', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Table booking recommended', 'Wine']"
Cafe Sydney,CBD,Sydney,"Seafood, Modern Australian","['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Waterfront', 'Outdoor Seating', 'Table booking recommended', 'Gift Cards Available', 'Wheelchair Accessible', 'Vegan Options', 'Fullbar', 'Indoor Seating', 'Kid Friendly', 'Wifi', 'Vegetarian Friendly']"
Rockpool Bar & Grill,CBD,Sydney,"Seafood, Steak, Modern Australian, Poké","['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Beer', 'Table booking recommended', 'Gift Cards Available', 'Vegan Options', 'Wine', 'Indoor Seating', 'Set Menu', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly']"
Kepos Street Kitchen,Redfern,Sydney,Middle Eastern,"['Lunch', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Nightlife', 'Outdoor Seating', 'Table Reservation Not Required', 'Pet Friendly', 'Gluten Free Options', 'Fullbar', 'Indoor Seating', 'Vegetarian Friendly']"
Belly Bao,Newtown,Sydney,"Taiwanese, Street Food","['Dinner', 'Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Fullbar', 'Table booking recommended', 'Gluten Free Options', 'Vegetarian Friendly', 'Indoor Seating', 'Street Parking', 'Split Bills', 'Vegan Options']"
China Doll,Woolloomooloo,Sydney,"Asian, Chinese","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Waterfront', 'Wine', 'Indoor Seating', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Outdoor Seating', 'Beer', 'Table booking recommended', 'Set Menu', 'Vegan Options']"
Jazushi,Surry Hills,Sydney,Japanese,"['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Wine', 'Live Music', 'Sake', 'Fullbar', 'Beer', 'Indoor Seating', 'Table booking recommended']"
The Restaurant Pendolino,"The Strand Arcade, CBD",Sydney,Italian,"['Lunch', 'Dinner', 'Credit Card', 'Breakfast', 'Cash', 'Debit Card', 'Vegetarian Friendly', 'Wine', 'Available for Functions', 'Vegan Options', 'Table booking recommended', 'Wheelchair Accessible', 'Gluten Free Options', 'Desserts and Bakes', 'Indoor Seating', 'Dairy Free', 'Beer', 'Private Dining']"
Toriciya Japanese,Cammeray,Sydney,"Japanese, Sushi","['Dinner', 'Credit Card', 'Cash', 'Fullbar', 'Street Parking', 'Izakaya', 'Open Kitchen', 'Indoor Seating', 'Sake', 'Table reservation required', 'Set Menu']"
Do Dee Paidang Thai,Haymarket,Sydney,"Thai, Asian","['Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Dinner', 'Vegan Options', 'Corkage Fee Charged', 'BYO', 'Table booking not available', 'EFTPos', 'Gluten Free Options', 'Vegetarian Friendly', 'Desserts and Bakes', 'Outdoor Seating', 'Indoor Seating', 'Table Reservation Not Required']"
Jang Ta Bal Korean Charcoal BBQ,Strathfield,Sydney,Korean BBQ,"['Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Dinner', 'Wheelchair Accessible', 'Fullbar', 'Table booking not available', 'Indoor Seating']"
El Jannah,Granville,Sydney,"Lebanese, Charcoal Chicken","['Cash', 'Lunch', 'No Alcohol Available', 'Breakfast', 'Takeaway Available', 'Dinner', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Outdoor Seating']"
Yang San Park,Haymarket,Sydney,Korean BBQ,"['Lunch', 'Dinner', 'Takeaway Available', 'Credit Card', 'Fullbar', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Outdoor Seating']"
A Tavola,Darlinghurst,Sydney,Italian,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Wine', 'Indoor Seating', 'Vegan Options', 'Beer', 'Table booking recommended', 'Gluten Free Options', 'Vegetarian Friendly']"
The Rice Den,St Leonards,Sydney,"Cantonese, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Table booking recommended', 'Indoor Seating', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly', 'Fullbar', 'Street Parking', 'Available for Functions', 'Outdoor Seating', 'Kid Friendly', 'Dairy Free', 'Vegan Options']"
Ormeggio At The Spit,"D'Albora Marinas, Mosman",Sydney,Italian,"['Debit Card', 'Dinner', 'Cash', 'Lunch', 'Credit Card', 'Outdoor Seating', 'Indoor Seating', 'Kid Friendly', 'Gluten Free Options', 'Vegetarian Friendly', 'Fullbar', 'Wine', 'Table reservation required', 'Set Menu', 'Wheelchair Accessible', 'Vegan Options']"
LP's Quality Meats,Chippendale,Sydney,Australian,"['Takeaway Available', 'Credit Card', 'Dinner', 'Street Parking', 'Wheelchair Accessible', 'Table booking recommended', 'Gluten Free Options', 'Vegetarian Friendly', 'Indoor Seating', 'Fullbar']"
The Lobo Plantation,CBD,Sydney,"Bar Food, Latin American","['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Nightlife', 'Indoor Seating', 'Fullbar', 'Serves Cocktails']"
Malacca Straits on Broadway,"The Quadrant, Ultimo",Sydney,"Asian, Malaysian","['Takeaway Available', 'Credit Card', 'Cash', 'Dinner', 'Lunch', 'Delivery', 'Debit Card', 'Wheelchair Accessible', 'Indoor Seating', 'Street Parking', 'Table Reservation Not Required', 'BYO', 'Vegetarian Friendly', 'Outdoor Seating', 'Fullbar']"
Holy Basil,Shark Hotel,Sydney,"Thai, Laotian, Salad","['Credit Card', 'Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Vegetarian Friendly', 'Fullbar', 'Indoor Seating', 'Kid Friendly']"
Ayam Goreng 99,Kingsford,Sydney,"Indonesian, Fried Chicken","['Lunch', 'Takeaway Available', 'Cash', 'Dinner', 'Kid Friendly', 'Table Reservation Not Required', 'Indoor Seating', 'Street Parking']"
Grandma's Bar,CBD,Sydney,"Bar Food, Sandwich","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Fullbar', 'Underground']"
Cappello Pizzeria,Balmain East,Sydney,"Italian, Pizza","['Debit Card', 'Credit Card', 'Cash', 'Takeaway Available', 'Delivery', 'Lunch', 'Dinner', 'Gluten Free Options', 'Indoor Seating', 'Vegetarian Friendly', 'EFTPos', 'Street Parking', 'Wheelchair Accessible', 'Vegan Options', 'Table booking recommended']"
Bar Reggio,Darlinghurst,Sydney,"Italian, Pizza","['Credit Card', 'Lunch', 'Dinner', 'Takeaway Available', 'Gluten Free Options', 'Indoor Seating', 'Vegetarian Friendly', 'Outdoor Seating', 'Fullbar', 'Wheelchair Accessible', 'BYO', 'Table Reservation Not Required']"
Hukuya,Eastwood,Sydney,"Japanese, Sushi","['Cash', 'Takeaway Available', 'Dinner', 'Lunch', 'Kid Friendly', 'Wheelchair Accessible', 'Indoor Seating', 'Table booking recommended']"
Efendy Restaurant - Meze Bar,Balmain,Sydney,Turkish,"['Takeaway Available', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Breakfast', 'Dinner', 'Vegan Options', 'Set Menu', 'Gluten Free Options', 'Table booking recommended', 'Street Parking', 'Desserts and Bakes', 'Fullbar', 'Wifi', 'Vegetarian Friendly', 'Outdoor Seating', 'Indoor Seating', 'Brunch']"
Vinh Phat,Cabramatta,Sydney,"Chinese, Seafood, Yum Cha","['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Vegetarian Friendly', 'Fullbar', 'Table booking recommended', 'Street Parking']"
Lentil As Anything,Newtown,Sydney,"Vegetarian, Vegan","['No Alcohol Available', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Available for Functions', 'Kid Friendly', 'Dairy Free', 'Vegan Options', 'Indoor Seating', 'Street Parking', 'Table Reservation Not Required', ""Seasonal Chef's Menu"", 'Pet Friendly', 'Gluten Free Options', 'Vegetarian Friendly']"
Farmhouse Kings Cross,Rushcutters Bay,Sydney,Modern Australian,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Wine', 'Indoor Seating', 'Table booking recommended', 'Beer', 'Set Menu']"
Out of the Blue,Coogee,Sydney,"Burger, Seafood, Fish and Chips","['Cash', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Debit Card', 'Indoor Seating', 'Gluten Free Options', 'Vegetarian Friendly']"
Hawa Charcoal Chicken,Granville,Sydney,"Lebanese, Charcoal Chicken","['Lunch', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Live Sports Screening', 'Indoor Seating', 'Table booking recommended', 'Kid Friendly', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Outdoor Seating', 'Available for Functions', 'Vegan Options']"
Berowra Waters Inn,Berowra,Sydney,"French, Modern Australian, Seafood","['Cash', 'Credit Card', 'Dinner', 'Indoor Seating', 'Fullbar', 'Table booking recommended', 'Waterfront']"
3 Olives,Newtown,Sydney,"Greek, Mediterranean","['Debit Card', 'Dinner', 'Takeaway Available', 'Cash', 'Credit Card', 'Indoor Seating', 'Wheelchair Accessible', 'Fullbar', 'Table booking recommended', 'Vegetarian Friendly', 'Outdoor Seating']"
The Yeeros Shop,Marrickville,Sydney,Greek,"['Credit Card', 'Takeaway Available', 'Dinner', 'Cash', 'No Alcohol Available', 'Lunch', 'Debit Card', 'Indoor Seating']"
Glebe Point Diner,Glebe,Sydney,Modern Australian,"['Credit Card', 'Debit Card', 'Dinner', 'Lunch', 'Cash', 'Outdoor Seating', 'Gluten Free Options', 'Fullbar', 'Wheelchair Accessible', 'Table booking recommended', 'Kid Friendly', 'Vegetarian Friendly', 'Indoor Seating', 'Vegan Options', 'Street Parking']"
Jasmins Lebanese Restaurant,Lakemba,Sydney,Lebanese,"['Credit Card', 'Breakfast', 'Delivery', 'Dinner', 'Takeaway Available', 'Lunch', 'No Alcohol Available', 'Table Reservation Not Required', 'Halal', 'Kid Friendly', 'Indoor Seating', 'Halal Certified']"
Yiamas Greek Taverna,St. Peters,Sydney,Greek,"['Dinner', 'Credit Card', 'Cash', 'BYO', 'Table booking recommended', 'Outdoor Seating', 'Fullbar', 'Indoor Seating', 'Vegetarian Friendly', 'Live Music']"
Bondi's Best,North Bondi,Sydney,"Seafood, Sushi","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Fullbar', 'Street Parking', 'Vegetarian Friendly', 'Outdoor Seating', 'Kid Friendly', 'Gluten Free Options', 'Farm-to-Table']"
La Piadina,Bondi Beach,Sydney,"Italian, Pizza, Cafe Food, Coffee and Tea","['Cash', 'Dinner', 'Credit Card', 'Debit Card', 'Breakfast', 'Delivery', 'Lunch', 'Takeaway Available', 'Vegan Options', 'Fullbar', 'Gluten Free Options', 'Brunch', 'Indoor Seating', 'Vegetarian Friendly', 'Kid Friendly', 'Outdoor Seating', 'Pet Friendly', 'Street Parking']"
Kobe Wagyu Yakiniku,CBD,Sydney,"Japanese BBQ, BBQ, Healthy Food, Japanese, Seafood, Steak, Asian","['Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Fullbar', 'Wine', 'Indoor Seating', 'Table booking recommended', 'BYO', 'Beer', 'Serves Cocktails', 'Kid Friendly', 'Buffet']"
Mr. Wong,"Establishment, CBD",Sydney,"Cantonese, Chinese, Yum Cha","['Lunch', 'Credit Card', 'Dinner', 'Wine', 'Table booking recommended', 'Gift Cards Available', 'Wheelchair Accessible', 'Gluten Free Options', 'Indoor Seating', 'Set Menu', 'Take-home Meals', 'Wifi', 'Vegetarian Friendly']"
Toko,Surry Hills,Sydney,Japanese,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Street Parking', 'Set Menu', 'Gluten Free Options', 'Outdoor Seating', 'Sake', 'Table booking recommended', 'Private Dining', 'Wheelchair Accessible', 'Vegetarian Friendly']"
Cho Cho San,Potts Point,Sydney,"Japanese, Asian, Fusion","['Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Sake', 'Table booking recommended', 'Gluten Free Options', 'Indoor Seating', 'Street Parking', ""Seasonal Chef's Menu"", 'Vegetarian Friendly', 'Fullbar', 'Serves Cocktails']"
Saké Restaurant & Bar,"The Rocks Centre, The Rocks ",Sydney,"Japanese, Sushi","['Debit Card', 'Dinner', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Vegetarian Friendly', 'Set Menu', 'Gluten Free Options', 'Sake', 'Fullbar', 'Omakase Available', 'Nightlife', 'Table booking recommended', 'Indoor Seating']"
Ms. G's,Potts Point,Sydney,"Asian, Vietnamese, Salad","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Wine', 'Serves Cocktails', 'Table booking recommended', 'Vegetarian Friendly', 'Indoor Seating', 'Street Parking', 'Set Menu', 'Wheelchair Accessible']"
Ippudo,"Westfield Pitt Street Mall, CBD",Sydney,"Japanese, Ramen","['Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Vegan Options', 'Serves Cocktails', 'Sake', 'Wifi', 'Vegetarian Friendly', 'Table booking recommended', 'Indoor Seating', 'Gluten Free Options']"
Buffalo Dining Club,Darlinghurst,Sydney,Italian,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Wine', 'Street Parking', 'Vegan Options', 'Indoor Seating', 'Table booking recommended', 'Gluten Free Options']"
Suminoya Japanese,CBD,Sydney,Japanese BBQ,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Indoor Seating', 'Fullbar', 'Table booking recommended', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Buffet']"
Juan Bowl & Tea,Redfern,Sydney,"Japanese, Tea","['Lunch', 'Cash', 'Dinner', 'Fullbar', 'Indoor Seating']"
Mamak,Haymarket,Sydney,Malaysian,"['Delivery', 'Dinner', 'No Alcohol Available', 'Credit Card', 'Takeaway Available', 'Lunch', 'Cash', 'Vegetarian Friendly', 'Wheelchair Accessible', 'Table Reservation Not Required', 'Indoor Seating']"
Encasa,Haymarket,Sydney,Spanish,"['Credit Card', 'Lunch', 'Dinner', 'Delivery', 'Takeaway Available', 'Gluten Free Options', 'Indoor Seating', 'Vegan Options', 'Table booking recommended', 'Kid Friendly', 'Vegetarian Friendly', 'Wifi', 'Fullbar']"
Miso Japanese Restaurant,"World Square, CBD",Sydney,Japanese,"['Dinner', 'Takeaway Available', 'Cash', 'Lunch', 'Credit Card', 'Wheelchair Accessible', 'Kid Friendly', 'Outdoor Seating', 'Vegetarian Friendly', 'Indoor Seating']"
Chaco Ramen,Darlinghurst,Sydney,Ramen,"['Credit Card', 'Takeaway Available', 'Lunch', 'Dinner', 'Debit Card', 'Cash', 'Corkage Fee Charged', 'Table booking recommended', 'Sake', 'Indoor Seating', 'Fullbar', 'Vegetarian Friendly']"
Felix Bistro and Bar,"Ivy, CBD",Sydney,French,"['Lunch', 'Dinner', 'Credit Card', 'Fullbar', 'Table booking recommended', 'Take-home Meals', 'Wifi', 'Vegetarian Friendly', 'Outdoor Seating', 'Set Menu', 'Smoking Area', 'Gluten Free Options']"
BLACK Bar & Grill,"The Star, Pyrmont",Sydney,"Steak, Modern Australian","['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Waterfront', 'Indoor Seating', 'Table reservation required', 'Luxury Dining', 'Wheelchair Accessible', 'Gluten Free Options', 'Fullbar', 'Serves Cocktails', 'Wifi', 'Vegetarian Friendly']"
Hartsyard,Newtown,Sydney,Modern Australian,"['Credit Card', 'Dinner', 'Debit Card', 'Cash', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', ""Seasonal Chef's Menu"", 'Pet Friendly', 'Vegetarian Friendly', 'Indoor Seating', 'Street Parking', 'Feed Me Menu', 'Wheelchair Accessible']"
glass brasserie & wine bar,"Hilton Sydney, CBD",Sydney,"Modern Australian, French, Tapas","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Corkage Fee Charged', 'Wine Cellar', 'Wine', 'Serves Cocktails', 'Set Menu', 'Wifi', 'Gluten Free Options', 'Vegetarian Friendly', 'Buffet', 'Shared Plates', 'Fullbar', 'Wine Tasting', 'Indoor Seating', 'Table booking recommended', ""Seasonal Chef's Menu"", 'Wheelchair Accessible', 'Dairy Free', 'Vegan Options', 'Degustation', 'Desserts and Bakes']"
Otto Ristorante,Woolloomooloo,Sydney,Italian,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Kid Friendly', 'Private Dining', 'EFTPos', 'Wifi', 'Vegan Options', 'Fullbar', 'Indoor Seating', 'Table booking recommended', ""Seasonal Chef's Menu"", 'Wheelchair Accessible', 'Gluten Free Options', 'Vegetarian Friendly', 'Waterfront', 'Outdoor Seating', 'Street Parking', 'Available for Functions']"
Mr Crackles,Darlinghurst,Sydney,"Sandwich, Fast Food, Salad, Fried Chicken, American","['Credit Card', 'Takeaway Available', 'Lunch', 'No Alcohol Available', 'Dinner', 'Wheelchair Accessible', 'Indoor Seating']"
Masuya Suisan,Haymarket,Sydney,"Sushi, Japanese","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Vegetarian Friendly', 'Outdoor Seating', 'Street Parking', 'Wheelchair Accessible', 'Vegan Options']"
Bodega,Surry Hills,Sydney,"Latin American, Tapas","['Credit Card', 'Dinner', 'Lunch', 'Table booking recommended', 'Fullbar', 'Outdoor Seating', 'Gluten Free Options']"
